section,type,content
li,li,"3.1. Recommended Connection Type: SMF Columns: Fixed Moment Base Plate. Requires a thick base plate, a large pattern of heavy anchor rods, and often shear keys to transfer moment, shear, and axial load into the foundation. OCBF/Gravity Columns: Pinned Base Plate. A simpler connection designed primarily for shear and axial load, with minimal moment resistance. Anchor rods are typically clustered near the column web."
li,li,"3.2. Governing Limit States (AISC 360-22, J8 & ACI 318-19, Ch. 17): Fixed Base: Concrete Bearing Strength (J8) Base Plate Bending at the faces of the column/stiffeners (AISC DG 1) Anchor Rod Tensile Strength (ACI 318) Concrete Breakout/Pullout Strength of Anchors (ACI 318) Weld Strength (Column to Base Plate) (J2.4) Pinned Base: Concrete Bearing Strength (J8) Anchor Rod Shear Strength (ACI 318) Concrete Edge Breakout in Shear (ACI 318)"
li,li,"3.3. Bolt / Weld Sizing Guidance: Anchors: Use ASTM F1554 Gr. 55 or 105 for fixed bases to provide high tensile strength in a smaller diameter. Use double nuts (one for leveling, one for tightening) for moment transfer. Gr. 36 is often sufficient for pinned bases. Welds: CJP or double-sided PJP welds are required for column-to-base plate connections at SMF columns. Fillet welds are typically sufficient for pinned bases."
li,li,"3.4. Constructability Score & Remarks: Fixed Base Score: 6/10 Pinned Base Score: 9/10 Remarks: Fixed bases are challenging. Anchor rod placement is critical and unforgiving. Leveling and grouting thick plates is a slow, precise operation. Pinned bases are simple and fast."
li,li,"3.5. Alternate Solutions: Proprietary Anchoring Systems: Some systems (e.g., Peikko, Hilti) offer pre-engineered solutions that can improve tolerance control and speed up installation, but may come at a premium cost."
p,p,---
h3,h3,4. Column Splices
p,p,Splices are required to join column sections between floors. Their design is driven by constructability and the forces they must transfer.
li,li,4.1. Recommended Connection Type:
p,p,    Bolted Flange and Web Plate Splice. Plates are shop-welded to the bottom of the upper column segment and field-bolted to the top of the lower segment. The splice is typically located ~4 ft above the finished floor for ease of access.
li,li,"4.2. Governing Limit States (AISC 360-22, Chapter J): Bolt Shear Strength (J3.6) Bolt Bearing on Plates and Column Flanges/Web (J3.10) Gross and Net Section Yielding/Rupture of Splice Plates (J4.1, J4.2) Block Shear Rupture of Plates and Column Sections (J4.3) Compressive Bearing Strength of Column Ends (J1.4(c)) (if not a complete tension splice)."
li,li,"4.3. Bolt / Weld Sizing Guidance: Bolts: ASTM F3125 Gr. A325 bolts installed in a bearing-type connection are usually sufficient. In SMF columns, design forces should consider potential moments from frame action. Location: Placing the splice 4 ft to 6 ft above the floor keeps workers off ladders and allows for simple, safe connection work."
li,li,4.4. Constructability Score & Remarks: Score: 8/10 Remarks: Very common and efficient. The use of erection aids like guide lugs is highly recommended. Requires coordination to ensure crane can place the upper column segment while erectors install bolts.
li,li,"4.5. Alternate Solutions: Directly Welded Splice: Provides a clean, flush aesthetic but is very expensive and slow due to field welding, NDT inspection, and weather delays. Generally avoided in commercial construction. Proprietary Splices: Some systems offer quick-connect mechanical splices, but they are less common and may have specific design limitations."
