section,type,content
li,li,Controlled Decking Zone (CDZ): A CDZ may be established for leading-edge decking work. Use: Only authorized personnel trained in CDZ procedures are allowed inside. Boundaries: The CDZ will be clearly marked with control lines no more than 90 feet wide and 90 feet deep from the leading edge. Fall Protection: Workers in a CDZ must be protected from fall hazards of more than two stories or 30 feet.
li,li,"Holes and Openings: All floor openings and open-sided floors will be protected by guardrails, covers, or safety nets as soon as decking is installed."
p,p,---
h3,h3,4. Erection Stability & Bracing Plan
p,p,This plan ensures the structure remains stable throughout the erection process. All activities must follow the sequence outlined in the project's erection drawings.
li,li,Foundation and Anchor Rods (1926.755): The controlling contractor must provide written notification that the concrete footings have cured to the strength specified in the design documents. All column base plates must be secured with a minimum of four (4) anchor rods. The erector will verify anchor rod placement and condition before setting columns.
li,li,Erection Sequence & Bracing:
ol,ol,"The first two columns must be set, plumbed, and stabilized with temporary guys or bracing cables before any other members are connected. Temporary bracing must remain in place until permanent stability is achieved through the installation of floor beams, diagonal bracing, and fully secured metal decking as specified in the erection drawings. Two-Bolt Rule (1926.756(a)): Before the crane load is released from any member, it must be secured with at least two bolts per connection, drawn up wrench-tight. The erection sequence will proceed bay by bay, ensuring each completed bay is fully plumbed, braced, and stable before moving to the next."
li,li,"Load Placement: Do not place construction loads (e.g., bundles of decking, equipment) on unbraced steel. Loads must be placed over primary support members only after the structure's stability is confirmed by the competent person."
p,p,---
h3,h3,5. Hazard Register with Controls
table-row,row,Hazard | Potential Harm | Control Measures
table-row,row,"**Crane Overturning** | Crushing, Multiple Fatalities | Adherence to load charts, firm ground/matting, certified operator, daily inspections, wind speed monitoring."
table-row,row,"**Dropped Load** | Struck-by, Crushing | Qualified rigger, daily rigging inspection, use of taglines, established ""no-go"" exclusion zone under loads."
table-row,row,"**Falls from Height** | Severe Injury, Fatality | 100% tie-off >15 ft, use of PFAS, guardrails, hole covers, connector-specific training."
table-row,row,"**Structural Collapse** | Multiple Fatalities, Crushing | Strict adherence to erection sequence, installation of temporary bracing, verification of foundation strength, 2-bolt rule before unhooking."
table-row,row,"**Swinging Load / Struck-by** | Impact Injuries, Fractures | Use of taglines, clear communication between operator and signal person, controlled access zone."
table-row,row,"**Pinch Points** | Hand/Limb Amputation | Hands-free tools where possible, hand placement awareness training, clear communication during connections."
table-row,row,"**Adverse Weather** | Dropped Load, Crane Instability, Electrocution | On-site anemometer, suspension of work at 25 mph winds (or lower), immediate cessation of work during lightning."
p,p,---
h3,h3,6. PPE & Site Access Notes
li,li,Minimum Required PPE for All Personnel: Hard Hat (ANSI Z89.1) Safety Glasses with Side Shields (ANSI Z87.1) High-Visibility Vest or Shirt Steel-Toed Work Boots
li,li,"Task-Specific PPE: Ironworkers/Riggers: Leather gloves, Personal Fall Arrest System (PFAS). Grinding/Welding: Face shield, welding hood, appropriate protective clothing. High Noise Areas: Hearing protection (earplugs or earmuffs)."
li,li,"Site Access & Control: Erection Zone: A controlled access zone will be established around the crane's swing radius and directly under the erection area. Only essential personnel (erection crew, signal person, inspector) are permitted inside this zone. Signage: The area will be clearly marked with ""DANGER - OVERHEAD WORK"" and ""AUTHORIZED PERSONNEL ONLY"" signs. Laydown Yard: The steel laydown area will be organized to allow safe access. Steel members will be stored on dunnage and chocked to prevent rolling. Daily Briefing: All site personnel will attend a daily safety briefing to review the plan, tasks, and associated hazards for the day."
