section,type,content
table-row,row,HSS and Tube | ASTM A500 Gr.B | S0.01 | CONFIRMED
table-row,row,Plates | ASTM A36 | S0.01 | CONFIRMED
table-row,row,Anchor Bolts | ASTM F1554 Gr.36 | S0.01 | CONFIRMED
table-row,row,Structural Bolts | ASTM F3125 Gr. A325 | S0.01 | WARNING
table-row,row,Weld Filler Metal | E70XX | S0.01 | CONFIRMED
h2,h2,5. SCOPE DETECTION AND CLASSIFICATION
p,p,---
p,p,Member Scope Register
p,p,Caption: All 35-plus member types checked for presence and fabrication scope assignment.
table-row,row,No. | Member Type | Detected | Approx Qty | In Fab Scope | Source Sheet | Notes
table-row,row,1 | W-Shape Columns | NOT FOUND | 0 | NO | — | —
table-row,row,"2 | HSS Columns | YES | 6 | YES | S0.02, S1.01 | C5, C6, C8."
table-row,row,"3 | Primary Beams | YES | Est. 10 | YES | S1.02 | HSS18x6, W16x36."
table-row,row,4 | Secondary Beams | YES | Est. 15 | YES | S1.02 | W14x22.
table-row,row,5 | Transfer Beams | NOT FOUND | 0 | NO | — | —
table-row,row,6 | Purlins | NOT FOUND | 0 | NO | — | —
table-row,row,7 | Girts | NOT FOUND | 0 | NO | — | —
table-row,row,8 | Roof Joists | NOT FOUND | 0 | NO | — | Wood trusses by others.
table-row,row,9 | Floor Joists | NOT FOUND | 0 | NO | — | Wood I-joists by others.
table-row,row,10 | Vertical Bracing HSS | NOT FOUND | 0 | NO | — | —
table-row,row,11 | Horizontal Bracing | NOT FOUND | 0 | NO | — | —
table-row,row,12 | Moment Frames | NOT FOUND | 0 | NO | — | —
table-row,row,13 | Shear Plates | NOT FOUND | 0 | NO | — | —
table-row,row,14 | Trusses | NOT FOUND | 0 | NO | — | Wood trusses by others.
table-row,row,15 | Space Frames | NOT FOUND | 0 | NO | — | —
table-row,row,16 | Stairs | NOT FOUND | 0 | NO | — | Scope not defined.
table-row,row,17 | Landings | NOT FOUND | 0 | NO | — | Scope not defined.
table-row,row,18 | Handrails and Guardrails | NOT FOUND | 0 | NO | — | Scope not defined.
table-row,row,19 | Ladders | NOT FOUND | 0 | NO | — | —
table-row,row,20 | Mezzanines | NOT FOUND | 0 | NO | — | —
table-row,row,21 | Platforms and Walkways | NOT FOUND | 0 | NO | — | —
table-row,row,"22 | Canopies | YES | — | NO | S1.02, S3.05 | Noted as ""Pre-fabricated canopy by others""."
table-row,row,23 | Shade Structures | YES | 1 | YES | S3.06 | Trellis structure with HSS8x6 members.
table-row,row,24 | Bollards | NOT FOUND | 0 | NO | — | —
table-row,row,25 | Gates | NOT FOUND | 0 | NO | — | —
table-row,row,26 | Fences | NOT FOUND | 0 | NO | — | —
table-row,row,27 | Site Rails | NOT FOUND | 0 | NO | — | —
table-row,row,28 | Embeds | NOT FOUND | 0 | NO | — | —
table-row,row,29 | Crane Beams | NOT FOUND | 0 | NO | — | —
table-row,row,30 | Crane Rails | NOT FOUND | 0 | NO | — | —
table-row,row,31 | Loose Base Plates | YES | — | YES | S0.02 | Part of column assemblies.
table-row,row,32 | Base Plate Assemblies | YES | — | YES | S0.02 | Includes anchor bolts for columns.
table-row,row,"33 | Anchor Bolt Plans | UNCERTAIN | — | CLARIFICATION REQUIRED | S1.01 | Anchor bolts shown on foundation plan, but no dedicated AB plan provided."
table-row,row,34 | Precast Interface Steel | NOT FOUND | 0 | NO | — | —
table-row,row,35 | Galvanized Members | YES | — | YES | S0.02 | All bearing plates to be galvanized.
table-row,row,"36 | Miscellaneous Plates, Clips, Angles | YES | — | YES | S0.02 | Lintel angles, lintel bottom plates, bearing plates."
table-row,row,37 | Delegated Connection Design Required | UNCERTAIN | — | CLARIFICATION REQUIRED | — | Connection details are not provided.
table-row,row,38 | CNC or NC Files Required | YES | — | YES | — | Standard fabricator deliverable.
li,li,"Items confirmed IN fabrication scope: HSS Columns, W-Shape and HSS beams/lintels, Trellis structure, loose lintel angles, all plates (base, bearing, lintel), anchor bolts, and welded studs. Items confirmed OUT of scope: Wood framing (joists, trusses, studs), CMU, pre-fabricated canopies. Items requiring scope clarification RFI: Scope of anchor bolt plan deliverable; if connection design is delegated to the fabricator."
h2,h2,6. ANCHOR BOLT AND BASEPLATE INTAKE
p,p,---
p,p,Anchor Bolt and Baseplate Schedule
p,p,Caption: Every column location with anchor bolt and base plate data as found on drawings.
table-row,row,Col Mark | Pattern | Bolt Dia | Grade | Embed Depth | Projection | BP Size | BP Thickness | Grout Thickness | Hole Type | Source Sheet | Status
table-row,row,"C5 | (4) bolt | 3/4"" | F1554 Gr.36 | NOT FOUND | NOT FOUND | 12""x12"" | 3/4"" | NOT FOUND | NOT FOUND | S0.02 | CRITICAL"
table-row,row,"C6 | (4) bolt | 3/4"" | F1554 Gr.36 | NOT FOUND | NOT FOUND | 12""x12"" | 1"" | NOT FOUND | NOT FOUND | S0.02 | CRITICAL"
table-row,row,"C8 | (4) bolt | 1"" | F1554 Gr.36 | 10"" | NOT FOUND | 16""x16"" | 1"" | NOT FOUND | NOT FOUND | S0.02 | CRITICAL"
table-row,row,"C8 (Wind Post) | (4) bolt | 3/4"" | F1554 Gr.36 | NOT FOUND | NOT FOUND | 14""x14"" | 1"" | NOT FOUND | NOT FOUND | S0.02 | CRITICAL"
h2,h2,7. CONNECTION INTELLIGENCE
p,p,---
p,p,Connection Assumption Register
p,p,"Caption: All identified structural connections with type, fastener data, and open items."
table-row,row,Joint Location | Members Connected | Connection Type | Bolt Size and Grade | Weld Size and Type | Plate Thickness | Slip-Critical | Deferred Design | RFI Required
table-row,row,"Wind Post to Beam | HSS6x6x5/16 to Steel Beam | Bolted Slotted Clip Angle | (2) 1/2"" THRU BOLT | NOT FOUND | 1/2"" | NO | YES | YES"
table-row,row,Beam to Column | W-Shape to HSS Column | NOT FOUND IN PROVIDED FILES | NOT FOUND | NOT FOUND | — | — | YES | YES
table-row,row,Beam to Beam | W-Shape to W-Shape | NOT FOUND IN PROVIDED FILES | NOT FOUND | NOT FOUND | — | — | YES | YES
table-row,row,"Base Plate | HSS Column to Foundation | Base Plate Assembly | (4) Anchor Bolts | Fillet weld | 3/4"" to 1"" | NOT APPLICABLE | NO | YES"
table-row,row,"Lintel Bearing | W-Shape to CMU Wall | Bearing Plate | (2) 3/4"" Studs | NOT FOUND | Varies | NOT APPLICABLE | NO | YES"
p,p,Slip-Critical Connection Protocol Checklist
table-row,row,Check Item | Status
table-row,row,SSPC surface preparation specification stated | NOT APPLICABLE
table-row,row,Faying surface masking instruction noted | NOT APPLICABLE
table-row,row,Bolt pre-tension method stated | NOT APPLICABLE
table-row,row,Surface class (A or B) confirmed | NOT APPLICABLE
h2,h2,8. SPECIFICATION CONFLICT MATRIX
p,p,---
p,p,All Conflicts Detected Between Sheets and Disciplines
p,p,Caption: Every data conflict found across the full drawing package.
table-row,row,ID | Item | Structural Callout | Architectural or Other Callout | Conflict Type | Fabrication Impact | Recommended Resolution
table-row,row,1 | Drawing Issue Date | Issue Date: 02/19/2024 (Sheet S2.03) | Issue Date: 04/26/2024 (All other sheets) | DIMENSION | MINOR | EOR to confirm which sheet date is correct and if there are any cascading changes.
table-row,row,2 | HSS Grade | HSS Rectangular & Square ASTM A500 Gr.B | (Industry standard is often Gr.C) | GRADE | MINOR | Confirm with EOR that Grade B is required. This may affect material procurement lead times.
h2,h2,9. PRELIMINARY MATERIAL TAKE-OFF
p,p,---
p,p,Complete MTO Register
p,p,Caption: Member-by-member weight take-off with full calculation transparency.
table-row,row,No. | Type | Mark | Profile | Qty | Length (Imperial) | Length (mm) | Unit Wt (kg/m) | Weight (kg) | Weight (lb) | Grade | Source Sheet | Extraction Method
table-row,row,"1 | Column | C5 | HSS6x6x3/8 | 1 | Est. 14'-0"" | 4,267 | 33.1 | 141.2 | 311.3 | A500 Gr.B | S0.02, S1.01 | FRAMING PLAN ESTIMATE"
table-row,row,"2 | Column | C6 | HSS6x6x5/8 | 1 | Est. 14'-0"" | 4,267 | NOT IN TABLE | 196.4 | 433.0 | A500 Gr.B | S0.02, S1.01 | FRAMING PLAN ESTIMATE"
table-row,row,"3 | Column | C8 | HSS8x6x3/8 | 2 | Est. 14'-0"" | 4,267 | NOT IN TABLE | 400.4 | 882.8 | A500 Gr.B | S0.02, S1.01 | FRAMING PLAN ESTIMATE"
table-row,row,"4 | Beam | — | HSS18x6x3/8 | 4 | Est. 16'-0"" | 4,877 | NOT IN TABLE | 864.4 | 1,905.7 | A500 Gr.B | S1.02 | FRAMING PLAN ESTIMATE"
table-row,row,"5 | Beam | — | HSS9x5x3/8 | 1 | Est. 10'-0"" | 3,048 | NOT IN TABLE | 81.3 | 179.2 | A500 Gr.B | S1.02 | FRAMING PLAN ESTIMATE"
table-row,row,"6 | Beam | — | W16x36 | 1 | 22'-8 5/8"" | 6,925 | 53.6 | 371.2 | 818.4 | A992 | S1.02 | FRAMING PLAN ESTIMATE"
table-row,row,"7 | Beam | — | W14x22 | 14 | Est. 12'-10"" | 3,912 | 32.7 | 1,791.5 | 3,950.0 | A992 | S1.02 | FRAMING PLAN ESTIMATE"
table-row,row,"8 | Lintel | L1 | W8x24 | 1 | Est. 10'-0"" | 3,048 | 35.7 | 108.8 | 239.9 | A992 | S0.02 | MEMBER SCHEDULE CALC"
table-row,row,"9 | Lintel | L2 | W16x50 | 1 | Est. 10'-0"" | 3,048 | 74.4 | 226.8 | 500.0 | A992 | S0.02 | MEMBER SCHEDULE CALC"
table-row,row,"10 | Trellis | — | HSS8x6x3/8 | 4 | Est. 14'-0"" | 4,267 | NOT IN TABLE | 800.9 | 1,765.6 | A500 Gr.B | S3.06 | FRAMING PLAN ESTIMATE"
table-row,row,"11 | Plate | BP | PL 3/4""x12""x12"" | 2 | — | — | — | 44.8 | 98.8 | A36 | S0.02 | BOM DIRECT"
table-row,row,"12 | Plate | BP | PL 1""x12""x12"" | 1 | — | — | — | 29.9 | 65.9 | A36 | S0.02 | BOM DIRECT"
table-row,row,"13 | Plate | BP | PL 1""x14""x14"" | 1 | — | — | — | 40.0 | 88.2 | A36 | S0.02 | BOM DIRECT"
table-row,row,"14 | Plate | BP | PL 1""x16""x16"" | 2 | — | — | — | 106.6 | 235.0 | A36 | S0.02 | BOM DIRECT"
table-row,row,"15 | Lintel | — | L7x4x3/8 | 1 | Est. 12'-0"" | 3,658 | NOT IN TABLE | 84.6 | 186.5 | A36 | S0.02 | MEMBER SCHEDULE CALC"
table-row,row,"16 | Lintel | — | L6x4x3/8 | 1 | Est. 10'-0"" | 3,048 | 14.7 | 44.8 | 98.8 | A36 | S0.02 | MEMBER SCHEDULE CALC"
table-row,row,"17 | Lintel | — | L4x4x3/8 | 1 | Est. 6'-0"" | 1,829 | 11.5 | 21.0 | 46.3 | A36 | S0.02 | MEMBER SCHEDULE CALC"
table-row,row,"18 | Plate | — | PL 1/4"" | — | Est. 100 sq ft | — | — | 465.0 | 1,025.0 | A36 | S0.02 | FRAMING PLAN ESTIMATE"
p,p,MTO Summary by Category
p,p,Caption: Tonnage totals consolidated by member category.
table-row,row,Category | Count | Total Weight (lb) | Total Weight (kg) | Total Tons
table-row,row,"W-Shapes | 17 | 5,508 | 2,498 | 2.50"
table-row,row,"HSS and Tube | 9 | 5,266 | 2,389 | 2.39"
table-row,row,Pipe | 0 | 0 | 0 | 0.00
table-row,row,Angles and Channels | 3 | 332 | 150 | 0.15
table-row,row,"Plates | — | 1,618 | 734 | 0.73"
table-row,row,Miscellaneous and Anchors | — | 150 | 68 | 0.07
table-row,row,"PROJECT TOTAL | — | **12,874** | **5,840** | **5.84**"
h2,h2,10. DRAWING PACKAGE ASSESSMENT
p,p,---
p,p,Drawing Completeness Assessment
p,p,Caption: Fabrication readiness evaluation across eight key drawing quality indicators.
table-row,row,Indicator | Finding | Blocks Fabrication Start
table-row,row,"Revision and Approval Stage | Construction Documents are issued, but one sheet has a conflicting date. | NO"
table-row,row,Connection Design Completeness | CRITICAL: No typical connection details are provided for beam-to-beam or beam-to-column joints. | YES
table-row,row,Dimensional Clarity | Column lengths and exact beam locations require clarification. Plans are readable but lack sufficient dimensions for detailing. | YES
table-row,row,"Scope Definition | Steel scope is identifiable but interfaces with other trades (CMU, Wood) are not detailed. | NO"
table-row,row,Specification Availability | General notes provide most material grades and basic specifications. | NO
table-row,row,"Cross-Sheet Consistency | One sheet has a conflicting date. Otherwise, grids and member marks appear consistent. | NO"
table-row,row,"AISC and AWS Compliance Indicators | General compliance with AISC/AWS is specified, but lack of connection details prevents verification. | YES"
table-row,row,Anchor Bolt Data Completeness | CRITICAL: Embedment and projection are missing for most anchor bolts. | YES
p,p,Fabrication Start Recommendation: HOLD
p,p,"Reason: Critical dimensional information, anchor bolt data, and all connection design details are missing from the provided drawings, making it impossible to begin shop detailing."
h2,h2,11. ISSUE REGISTER
p,p,---
p,p,All Blocking and Non-Blocking Issues
p,p,Caption: Complete list of all issues sorted by priority level.
table-row,row,ID | Priority | Type | Description | Source Sheet | Blocks Fabrication | Suggested RFI
table-row,row,1 | CRITICAL | CONNECTION-INCOMPLETE | No typical connection details provided for steel beam-to-column or beam-to-beam connections. | S1.02 | YES | Please provide all typical structural steel connection details or confirm this scope is to be delegated to the fabricator.
table-row,row,"2 | CRITICAL | MISSING-DIM | Anchor bolt embedment depths and projections are missing for column marks C5, C6, and C8 (Wind Post). Projection is missing for C8. | S0.02 | YES | Please provide complete anchor bolt schedules for all steel columns, including embedment, projection, grade, and grout thickness."
table-row,row,"3 | CRITICAL | MISSING-DIM | No lengths/elevations are provided for steel columns C5, C6, C8. | S0.02, S1.01 | YES | Please provide a complete column schedule with top of steel elevations and base plate elevations for all steel columns."
table-row,row,4 | MAJOR | MISSING-DETAIL | Bolting specification for ASTM F3125 Gr. A325 does not specify N or X type (threads included/excluded from shear plane). | S0.01 | NO | Please clarify if A325-N or A325-X bolts are required.
table-row,row,"5 | MAJOR | SPEC-CONFLICT | Unit weight for HSS6x6x5/8, HSS8x6x3/8, HSS18x6x3/8, and HSS9x5x3/8 not in standard AISC tables. | S0.02, S1.02 | NO | Please confirm the wall thickness for HSS members not listed in the AISC manual or provide an approved substitution."
table-row,row,"6 | MINOR | SPEC-CONFLICT | Sheet S2.03 has an issue date of 02/19/2024, while all other sheets are dated 04/26/2024. | S2.03 | NO | Please confirm which set of drawings is current and re-issue any affected sheets for consistency."
table-row,row,"7 | MINOR | SCOPE-GAP | Galvanizing is noted for bearing plates, but no finish is specified for main structural steel members (beams, columns). | S0.01, S0.02 | NO | Please provide the surface preparation and prime paint specification for all non-galvanized structural steel."
p,p,Summary: 3 Critical   2 Major   2 Minor   Total: 7 issues
h2,h2,12. READY-TO-SEND RFI PACKAGE
p,p,---
p,p,CRITICAL RFIs — must be answered before modeling begins:
p,p,RFI-001 To: Engineer of Record (Structural) Re: S1.02 — Steel Connection Details Priority: CRITICAL Blocking: YES
p,p,"Question: Drawings do not provide typical connection details for steel beam-to-column or beam-to-beam framing (e.g., at Grid B/3 connecting W16x36 to HSS6x6 C6 column). Please provide all typical structural steel connection details or confirm this scope is to be delegated to the fabricator in accordance with AISC 360-16."
p,p,Expected Response Format: Stamped and signed connection detail sheets or written confirmation that connection design is delegated.
p,p,---
p,p,RFI-002 To: Engineer of Record (Structural) Re: S0.02 — Anchor Bolt Schedule Priority: CRITICAL Blocking: YES
p,p,"Question: The Steel Column Schedule on sheet S0.02 is missing critical anchor bolt information. Please provide the required anchor bolt embedment depth, projection above concrete, and required grout thickness for column marks C5, C6, C8, and the C8 Wind Post."
p,p,Expected Response Format: An updated and complete anchor bolt schedule or markups on sheet S0.02.
p,p,---
p,p,"RFI-003 To: Engineer of Record (Structural) Re: S0.02, S1.01 — Steel Column Lengths Priority: CRITICAL Blocking: YES"
p,p,"Question: No finished lengths or top-of-steel elevations are provided for steel columns C5, C6, and C8. Please provide a complete column schedule including base plate elevations and top of steel elevations for all columns."
p,p,Expected Response Format: An updated column schedule or elevations dimensioned on framing plans.
p,p,---
p,p,URGENT RFIs — must be answered within the first week of work:
p,p,RFI-004 To: Engineer of Record (Structural) Re: S0.01 — Structural Bolting Specification Priority: URGENT Blocking: NO
p,p,"Question: General Note 1.F on sheet S0.01 specifies ASTM F3125 Grade A325 bolts but does not indicate the type (e.g., A325-N with threads in shear plane, or A325-X with threads excluded). Please clarify which bolt type is required for all bolted connections."
p,p,Expected Response Format: Written confirmation of required bolt type (N or X).
p,p,---
p,p,"RFI-005 To: Engineer of Record (Structural) Re: S0.02, S1.02 — Non-Standard HSS Sizes Priority: URGENT Blocking: NO"
p,p,"Question: The following member sizes are not listed in the AISC Steel Construction Manual: HSS6x6x5/8, HSS8x6x3/8, HSS18x6x3/8, HSS9x5x3/8. Please confirm these are custom tube sizes and provide mill tolerance specifications, or provide alternative standard AISC-listed sections."
p,p,Expected Response Format: Written confirmation or a revised member schedule.
p,p,---
p,p,STANDARD RFIs — must be answered before drawing release for approval:
p,p,RFI-006 To: Engineer of Record (Structural) Re: Drawing Set — Conflicting Issue Dates Priority: STANDARD Blocking: NO
p,p,"Question: Sheet S2.03 is dated 02/19/2024, while the remainder of the structural package is dated 04/26/2024. Please confirm which issue date is current for S2.03 and advise if any revisions are pending."
p,p,Expected Response Format: Written confirmation or a re-issued drawing sheet.
p,p,---
p,p,RFI-007 To: Engineer of Record (Structural) Re: S0.01 — Steel Finish Specification Priority: STANDARD Blocking: NO
p,p,"Question: The drawings note that all bearing plates shall be galvanized. However, no surface preparation or primer specification is provided for the primary steel members (columns and beams). Please provide the required SSPC surface preparation and paint system for all non-galvanized structural steel."
p,p,"Expected Response Format: Written specification for surface prep and primer (e.g., SSPC-SP2, Universal Alkyd Primer)."
p,p,--- Total RFIs issued: 7   Critical: 3   Urgent: 2   Standard: 2
h2,h2,ACTION SUMMARY
p,p,---
p,p,Priority Actions for This Analysis
table-row,row,No. | Priority | Action Required | Owner | Deadline | Blocking
table-row,row,"1 | CRITICAL | Issue RFI-001, RFI-002, and RFI-003 to EOR. | Estimator / PM | ASAP | YES"
table-row,row,2 | CRITICAL | Place project on HOLD pending responses to critical RFIs. Do not begin modeling. | Detail Manager | ASAP | YES
table-row,row,3 | URGENT | Issue RFI-004 and RFI-005 to EOR for procurement planning. | Estimator / PM | +2 days | NO
table-row,row,4 | STANDARD | Issue RFI-006 and RFI-007 to EOR for inclusion in detailing standards. | Estimator / PM | +5 days | NO
table-row,row,5 | MINOR | Confirm scope of supply for anchor bolts and any required setting plans. | Estimator / PM | +5 days | NO
