section,type,content
li,li,"W-shapes: ASTM A992, Gr. 50 HSS/Pipe: ASTM A500, Gr. C / ASTM A53, Gr. B Plates: ASTM A36 Anchor bolts: ASTM F1554, Gr. 36 Bolts: ASTM F3125, Gr. A325 Weld filler: Not Specified"
p,p,================================================================ SECTION 5 — SCOPE DETECTION & CLASSIFICATION ================================================================
p,p,Table: Member Scope Register
table-row,row,Member Type | In Scope | Qty (Approx) | Source | Confidence | Notes
table-row,row,"Columns | ✅ Yes | 22 | S0.02, S3.06 | High | Steel columns C1-C5 and trellis columns."
table-row,row,"Primary beams | ✅ Yes | 11 | S1.02, S3.06 | High | W16x36, HSS18x6x3/8, HSS8x6x3/8."
table-row,row,Secondary beams | ✅ Yes | 46 | S1.02 | High | W14x22 infill beams.
table-row,row,Purlins | ❌ No | NF | NF | High | Roof is wood truss.
table-row,row,Girts | ❌ No | NF | NF | High | Walls are wood stud or CMU.
table-row,row,"Joists | ⚠️ Depends | Many | S1.02, S3.05 | High | Wood I-Joists are out of scope. Light gauge steel joists at canopies (600S200-54) are in scope."
table-row,row,Joist girders | ❌ No | NF | NF | High | Not used.
table-row,row,"Trusses | ❌ No | Many | S1.04 | High | Wood trusses, by others."
table-row,row,Bracing | ❌ No | NF | NF | High | Lateral system is wood/CMU shear walls.
table-row,row,Moment frames | ❌ No | NF | NF | High | Not used.
table-row,row,"Shear plates | ❓ Unclear | NF | S0.02 | Low | Wind post connection shows a shear plate, but it is not fully detailed. Likely part of delegated connection design."
table-row,row,"Base plates | ✅ Yes | 22 | S0.02, S3.06 | High | Sizes are given in schedules."
table-row,row,"Anchor bolt plans | ✅ Yes | 1 | S1.01 | High | Location plan exists, details are in schedule S0.02."
table-row,row,"Stairs | ❌ No | 2 | S2.03, S2.04 | High | Stairs are within CMU cores, likely concrete/misc metals by others. No steel stair details provided."
table-row,row,Handrails | ❌ No | NF | NF | High | Assumed by others.
table-row,row,Ladders | ❌ No | NF | NF | High | Not shown.
table-row,row,Platforms | ❌ No | NF | NF | High | Not shown.
table-row,row,Walkways | ❌ No | NF | NF | High | Not shown.
table-row,row,Mezzanines | ❌ No | NF | NF | High | Not used.
table-row,row,"Canopies | ✅ Yes | 3 | S1.02, S3.05 | High | HSS18x6 framing and light gauge infill."
table-row,row,Bollards | ❌ No | NF | NF | High | Not shown.
table-row,row,Gates | ❌ No | NF | NF | High | Not shown.
table-row,row,Fences | ❌ No | NF | NF | High | Not shown.
table-row,row,Embeds | ✅ Yes | Est. 10 | S0.02 | Medium | Lintel schedule shows embed angles and plates.
table-row,row,Crane rails | ❌ No | NF | NF | High | Not used.
table-row,row,Crane beams | ❌ No | NF | NF | High | Not used.
table-row,row,Transfer beams | ❌ No | NF | NF | High | Not used.
table-row,row,"Misc plates/angles/clips | ✅ Yes | Many | S0.02, S3.05 | Medium | Lintels, wind post connections, canopy connections."
table-row,row,"Delegated connection design | ✅ Yes | All | S0.01 | High | Note 7 under ""STRUCTURAL STEEL"" states ""ALL STEEL-TO-STEEL CONNECTIONS ARE TO BE DESIGNED BY FABRICATOR'S ENGINEER..."""
table-row,row,Erection drawings | ✅ Yes | 1 | NF | High | Required deliverable for steel scope.
p,p,State:
li,li,"Items clearly IN scope (fabricator to detail): Columns (C1-C5, Trellis), Beams (W14, W16, HSS), Canopies, Trellis, Steel Lintels (L1-L4), Base Plates, Anchor Bolts, Delegated Connection Design. Items clearly OUT of scope: Wood framing (I-joists, trusses, studs, headers), CMU walls, Foundations, SOG, Wood Shear Walls. Items requiring scope clarification RFI: Scope of supply for light gauge steel joists (600S200-54) at canopies. Scope of supply for HSS9x5x3/8 Header shown on S1.02, as it interfaces with wood framing."
p,p,================================================================ SECTION 6 — ANCHOR BOLT & BASEPLATE INTAKE ================================================================
p,p,Table: Anchor Bolt Schedule
table-row,row,Column Mark | Bolt Pattern | Bolt Size | Spec (F1554/A307/etc.) | Grade | Embed | Projection | Baseplate | Grout | Hole Type | Source Sheet | Status
table-row,row,"C1 (HSS6x6) | (4) Bolts | 3/4""Ø | F1554 | 36 | 12"" | NF | 1""x12""x12"" | NF | NF | S0.02 | 🟡 Incomplete"
table-row,row,"C2 (HSS5x5) | (4) Bolts | 3/4""Ø | F1554 | 36 | 12"" | NF | 1""x12""x12"" | NF | NF | S0.02 | 🟡 Incomplete"
table-row,row,"C3 (HSS4x4) | (4) Bolts | 3/4""Ø | F1554 | 36 | 12"" | NF | 1""x10""x10"" | NF | NF | S0.02 | 🟡 Incomplete"
table-row,row,"C4 (HSS8x4) | (4) Bolts | 3/4""Ø | F1554 | 36 | 12"" | NF | 1""x14""x10"" | NF | NF | S0.02 | 🟡 Incomplete"
table-row,row,"C5 (HSS9x5) | (4) Bolts | 3/4""Ø | F1554 | 36 | 12"" | NF | 1""x15""x11"" | NF | NF | S0.02 | 🟡 Incomplete"
table-row,row,"Trellis Col | (4) Bolts | 1""Ø | F1554 | 36 | 12"" | NF | 1""x16""x16"" | NF | NF | S3.06 | 🟡 Incomplete"
p,p,Flag:
li,li,"Missing embed depths: None, all are specified. Missing projections: Yes, projection above concrete is not specified for any anchor bolt type. Inconsistent bolt patterns vs. baseplate drawings: Bolt patterns are not drawn, only scheduled. Leveling nut / washer plate not called: Yes, not specified. Standard practice, but should be confirmed. Grout thickness not specified: Yes, grout thickness is not specified. Column orientation not shown on anchor bolt plan: Yes, HSS8x4 and HSS9x5 orientations are not shown on plan S1.01."
p,p,================================================================ SECTION 7 — CONNECTION INTELLIGENCE ================================================================
p,p,Table: Connection Assumption Register
table-row,row,Joint Location | Members Connected | Likely Connection Type | Bolt Size/Grade | Weld Size/Type | Plate Thickness | Edge Conditions | Confidence | RFI Required?
table-row,row,"Column Base | HSS Col to FDN | Base plate | 1""Ø, 3/4""Ø F1554 Gr36 | 1/4"" Fillet | 1"" PL | NF | High | No"
table-row,row,"Wind Post Top | W14x22 to W16x36 | Simple shear | 3/4""Ø A325-N | 1/4"" Fillet | 3/8"" PL | NF | Medium | Yes"
table-row,row,Trellis Beam-Col | HSS8x6 to HSS8x6 | Fully Welded CJP/PJP | NF | CJP/PJP | NF | NF | Medium | Yes
table-row,row,"Canopy Beam-Col | HSS18x6 to HSS Col | Moment End Plate | 3/4""Ø A325-N | 5/16"" Fillet | 3/4"" PL | NF | Low | Yes"
table-row,row,"Infill Beam | W14x22 to W16x36 | Simple shear | 3/4""Ø A325-N | NF | 3/8"" PL | NF | Medium | Yes"
p,p,Connection types: Simple shear / Moment end-plate / Moment WUF-W / Fully welded / Slip-critical bolted / Gusset bracing / HSS end plate / Column splice / Base plate
p,p,Flag:
li,li,"Deferred connection design (mark ❌ — major risk): Yes. General Note S0.01/STRUCTURAL STEEL #7 explicitly states: ""ALL STEEL-TO-STEEL CONNECTIONS ARE TO BE DESIGNED BY FABRICATOR'S ENGINEER AND SUBMITTED TO EOR FOR REVIEW AND APPROVAL..."" This is a critical workflow item, not a risk, as it's clearly defined. Slip-critical connections without SSPC prep spec (mark ❌ — code issue): No slip-critical connections noted. Connections with 3+ members framing — constructability risk: None noted. Field weld vs. shop weld not distinguished: Yes. No distinction is made on typical details or plans."
p,p,Slip-Critical Alert (if any slip-critical connections found):
li,li,SSPC prep spec stated? N/A Faying surface masking noted? N/A Bolt pre-tension method stated? N/A Surface class (A/B) confirmed? N/A
p,p,================================================================ SECTION 8 — SPECIFICATION CONFLICT VALIDATOR ================================================================
p,p,Table: Conflict Matrix
table-row,row,Conflict ID | Item | Structural Spec Callout | Arch / Other Spec Callout | Conflict Type | Impact | Recommended Resolution
table-row,row,"C-01 | Weld Spec | E70XX specified for shop/field welding. | Not Found in Provided Files | WELD | Critical | General Note for welding states ""All welding...shall conform to AWS D1.1"" but no filler metal strength (e.g., E70XX) is specified anywhere. This is required for connection design and WPS. RFI required."
table-row,row,"C-02 | Steel Finish | Shop primer noted in General Notes (S0.01). | Architectural Drawings Not Provided. | FINISH | Major | Exterior steel (canopies, trellis) may require galvanizing or a specific paint system. This must be clarified by comparing with Architectural specs/drawings. RFI required."
p,p,Conflict Types: GRADE | FINISH | DIMENSION | BOLT | WELD | SCOPE | CODE | TOLERANCE
p,p,Flag ALL conflicts — do not filter minor ones. A minor conflict on-site = major rework.
p,p,================================================================ SECTION 9 — INITIAL MTO (MATERIAL TAKE-OFF) ================================================================
p,p,Table: Complete MTO Register
table-row,row,# | Type | Mark/Tag | Profile/Section | Qty | Unit Length (Imperial) | Length (mm) | Unit Wt (kg/m) | Est. Wt (kg) | Est. Wt (lbs) | Grade | Source Sheet | Detail/View | Confidence
table-row,row,"1 | BEAM | B1 | W16X36 | 2 | 25'-9"" | 7848.6 | 53.6 | 841.4 | 1855 | A992 | S1.02 | Plan | High"
table-row,row,"2 | BEAM | B2 | W14X22 | 46 | 12'-10"" | 3911.6 | 32.7 | 5883.9 | 12972 | A992 | S1.02 | Plan | High"
table-row,row,"3 | BEAM | B3 | HSS18X6X3/8 | 6 | 12'-10"" | 3911.6 | 57.3 | 1345.5 | 2966 | A500-C | S1.02 | Plan | High"
table-row,row,"4 | BEAM | B4 | HSS9X5X3/8 | 1 | 4'-2 3/4"" | 1289.1 | 42.1 | 54.3 | 120 | A500-C | S1.02 | Plan | High"
table-row,row,"5 | BEAM | B5 | HSS6X4X1/4 | 2 | 2'-0"" (Est.) | 609.6 | 21.6 | 26.3 | 58 | A500-C | S1.02 | Plan | Medium"
table-row,row,"6 | BEAM | TR-BM | HSS8X6X3/8 | 3 | 13'-0"" | 3962.4 | 47.1 | 560.8 | 1236 | A500-C | S3.06 | Detail 2 | High"
table-row,row,"7 | COL | C1 | HSS6X6X3/8 | 10 | 14'-0"" (Est.) | 4267.2 | 34.6 | 1477.3 | 3257 | A500-C | S0.02 | Schedule | Medium"
table-row,row,"8 | COL | C2 | HSS5X5X3/8 | 2 | 14'-0"" (Est.) | 4267.2 | 28.7 | 244.7 | 540 | A500-C | S0.02 | Schedule | Medium"
table-row,row,"9 | COL | C3 | HSS4X4X3/8 | 2 | 14'-0"" (Est.) | 4267.2 | 22.8 | 194.5 | 429 | A500-C | S0.02 | Schedule | Medium"
table-row,row,"10 | COL | C4 | HSS8X4X3/8 | 2 | 14'-0"" (Est.) | 4267.2 | 37.3 | 318.5 | 702 | A500-C | S0.02 | Schedule | Medium"
table-row,row,"11 | COL | C5 | HSS9X5X3/8 | 2 | 14'-0"" (Est.) | 4267.2 | 42.1 | 359.1 | 792 | A500-C | S0.02 | Schedule | Medium"
table-row,row,"12 | COL | TR-COL | HSS8X6X3/8 | 4 | 9'-0"" (Est.) | 2743.2 | 47.1 | 517.0 | 1140 | A500-C | S3.06 | Detail 2 | Medium"
table-row,row,"13 | PLATE | BP1 | PL 1""x12""x12"" | 12 | 1'-0"" | 304.8 | 204.0 | 73.5 | 162 | A36 | S0.02 | Schedule | High"
table-row,row,"14 | PLATE | BP3 | PL 1""x10""x10"" | 2 | 0'-10"" | 254.0 | 204.0 | 10.4 | 23 | A36 | S0.02 | Schedule | High"
table-row,row,"15 | PLATE | BP4 | PL 1""x14""x10"" | 2 | 1'-2"" | 355.6 | 204.0 | 14.5 | 32 | A36 | S0.02 | Schedule | High"
table-row,row,"16 | PLATE | BP5 | PL 1""x15""x11"" | 2 | 1'-3"" | 381.0 | 204.0 | 16.4 | 36 | A36 | S0.02 | Schedule | High"
table-row,row,"17 | PLATE | TR-BP | PL 1""x16""x16"" | 4 | 1'-4"" | 406.4 | 204.0 | 33.1 | 73 | A36 | S3.06 | Detail 2 | High"
table-row,row,"18 | ANGLE | L1 | L3.5x3.5x1/4 | 1 | 4'-0"" (BOM) | 1219.2 | 8.5 | 10.4 | 23 | A36 | S0.02 | Schedule | High"
table-row,row,"19 | ANGLE | L2 | L5x3.5x5/16 | 1 | 5'-4"" (BOM) | 1625.6 | 12.2 | 19.8 | 44 | A36 | S0.02 | Schedule | High"
table-row,row,"20 | PLATE | L3 | PL 3/8""x9.25"" | 1 | 5'-4"" (BOM) | 1625.6 | 27.5 | 44.7 | 99 | A36 | S0.02 | Schedule | High"
table-row,row,"21 | PLATE | L4 | PL 3/8""x12"" | 1 | 10'-0"" (BOM) | 3048.0 | 35.8 | 109.1 | 241 | A36 | S0.02 | Schedule | High"
p,p,MTO Summary by Category:
table-row,row,Category | Total Qty | Est. Total Weight (lbs) | Est. Total Weight (tons)
table-row,row,"W-Shapes | 48 | 14,827 | 7.41"
table-row,row,"HSS Shapes | 32 | 6,958 | 3.48"
table-row,row,Plates & Angles | 26 | 733 | 0.37
table-row,row,"**Total** | **106** | **22,518** | **11.26**"
p,p,================================================================ SECTION 10 — DRAWING QUALITY SCORE ================================================================
p,p,Table: Quality Assessment
table-row,row,Indicator | Score (1–5) | Finding | Blocking Issue?
table-row,row,Revision / Approval Stage | 5 | Issued as Construction Documents. Clear status. | No
table-row,row,"Connection Design Completeness | 2 | Fully delegated to fabricator. No prescriptives details are provided for steel-to-steel connections, which is a major scope item to be carried by the fabricator. | No"
table-row,row,"Dimensional Clarity | 4 | Grids are clear, and primary member locations are well-defined. Some orientations on plan are missing. | No"
table-row,row,Scope Definition | 3 | Steel scope is identifiable but interfaces with wood and light gauge are shown via typical details only. Scope of light gauge supply is ambiguous. | No
table-row,row,"Specification Availability | 3 | Material grades are clear, but weld filler metal and finish for exterior steel are missing. | Yes"
table-row,row,Cross-Sheet Consistency | 5 | All sheets are consistent with each other. No conflicts found within the structural set. | No
table-row,row,AISC / AWS Compliance Indicators | 4 | AISC 360-16 is referenced. AWS D1.1 is referenced. These are appropriate. | No
table-row,row,OVERALL SCORE | 26/35 |  | 
p,p,Drawing Grade: B (Minor gaps)
p,p,State:
li,li,"Modelling Start Recommendation: GO WITH CAUTION Reason: Modeling can begin, but immediate RFIs are required for weld specifications, exterior finishes, and connection design criteria before any shop drawings can be completed."
p,p,================================================================ SECTION 11 — MISSING / WRONG / CONFLICTS REGISTER ================================================================
p,p,Table: Issue Register (All blocking + non-blocking issues)
table-row,row,ID | Priority | Issue Type | Issue Description | Sheet/Location | Member/Detail | Why It Blocks Detailing | Suggested RFI Text
table-row,row,"1 | 🔴 Critical | WELD-MISSING | Weld filler metal specification (e.g., E70XX) is not provided in the general notes or details. | S0.01 | General Notes | Connection design calculations and WPS development cannot be completed without the specified electrode strength. | Per S0.01 General Structural Notes, all welding is to conform to AWS D1.1. Please confirm the required weld filler metal strength (e.g., 70ksi)."
table-row,row,"2 | 🟡 Major | SPEC-CONFLICT | Finish for exterior steel (canopies, trellis) is not specified. General notes call for primer, which is insufficient for exterior exposure. | S0.01, S3.05, S3.06 | General Notes, Exterior Steel | Fabricator cannot procure and apply the correct finish without specification. Applying primer to exterior steel will lead to premature failure. | The canopy and trellis steel on sheets S3.05 and S3.06 are exposed to weather. General Note on S0.01 specifies shop primer U.N.O. Please confirm the required finish for all exterior structural steel (e.g., Galvanizing per ASTM A123, or a specific paint system)."
table-row,row,"3 | 🟡 Major | CONNECTION-INCOMPLETE | Anchor bolt projection above concrete is not specified. Grout thickness is not specified. | S0.02, S3.06 | Schedules | The anchor bolt list cannot be released for fabrication without knowing the required projection. Base plate details in the model cannot be finalized without grout thickness. | The Steel Column Schedule on S0.02 and detail 2/S3.06 provide anchor bolt embedment but do not specify the required projection above top of concrete. Please provide the required projection and the design grout thickness for all column bases."
table-row,row,"4 | 🟡 Major | CONNECTION-INCOMPLETE | Connection design is delegated, but no performance criteria (e.g., loads, moments, stiffness requirements) are provided for any connection. | S0.01, S1.02 | General Notes | The connection design engineer cannot proceed without the loads for each connection type. | Per General Note 7 on S0.01, all steel-to-steel connections are to be designed by the fabricator's engineer. Please provide a complete set of connection forces (axial, shear, moment) for all steel connections to allow design to proceed."
table-row,row,"5 | 🟢 Minor | MISSING-DIM | The orientation of asymmetrical columns (C4 - HSS8x4, C5 - HSS9x5) is not shown on the foundation plan. | S1.01 | Plan View | The anchor bolt plan cannot be finalized without confirming the column orientation and its relation to the grid lines. | Please provide the orientation for columns C4 (HSS8x4) and C5 (HSS9x5) on the Foundation Plan S1.01 relative to the column grid lines."
table-row,row,"6 | 🟢 Minor | SCOPE-GAP | The supply scope for light gauge steel joists (600S200-54) shown at canopies is unclear. | S3.05 | Details 5,6,7 | It is unclear if these are supplied by the structural steel fabricator or another trade. This impacts bidding and coordination. | Details on sheet S3.05 show 600S200-54 light gauge steel joists framing between HSS18x6 beams. Please clarify if these light gauge members are to be supplied and installed by the structural steel fabricator."
p,p,Summary line: 1 Critical | 3 Major | 2 Minor | Total: 6 issues
p,p,================================================================ SECTION 12 — READY-TO-SEND RFI PACKAGE ================================================================
p,p,RFI-001 To: Taylor & Viola Structural Engineers Re: S0.01 — Weld Filler Metal Specification Priority: Critical Blocking: Yes
p,p,"Question: Per S0.01 General Structural Notes, all welding is to conform to AWS D1.1. Please confirm the required weld filler metal strength (e.g., 70ksi)."
p,p,"Recommended Answer Format: Written confirmation of filler metal strength (e.g., ""Confirm 70ksi electrodes are required."")"
p,p,"--- RFI-002 To: Taylor & Viola Structural Engineers Re: S0.01, S3.05, S3.06 — Finish for Exterior Steel Priority: Urgent Blocking: No"
p,p,"Question: The canopy and trellis steel on sheets S3.05 and S3.06 are exposed to weather. General Note on S0.01 specifies shop primer U.N.O. Please confirm the required finish for all exterior structural steel (e.g., Galvanizing per ASTM A123, or a specific paint system)."
p,p,Recommended Answer Format: A written specification or reference to an architectural specification for the required finish system.
p,p,"--- RFI-003 To: Taylor & Viola Structural Engineers Re: S0.02, S3.06 — Anchor Bolt Projection and Grout Thickness Priority: Urgent Blocking: No"
p,p,Question: The Steel Column Schedule on S0.02 and detail 2/S3.06 provide anchor bolt embedment but do not specify the required projection above top of concrete. Please provide the required projection and the design grout thickness for all column bases.
p,p,"Recommended Answer Format: Written confirmation of required projection (e.g., ""Provide 3"" projection"") and grout thickness (e.g., ""Design for 1-1/2"" grout"")."
p,p,--- RFI-004 To: Taylor & Viola Structural Engineers Re: S0.01 — Delegated Connection Design Loads Priority: Urgent Blocking: Yes
p,p,"Question: Per General Note 7 on S0.01, all steel-to-steel connections are to be designed by the fabricator's engineer. Please provide a complete set of connection forces (axial, shear, moment) for all steel connections to allow design to proceed."
p,p,Recommended Answer Format: A supplementary drawing or table listing factored loads for each unique connection type shown on the drawings.
p,p,--- RFI-005 To: Taylor & Viola Structural Engineers Re: S1.01 — Column Orientation Priority: Standard Blocking: No
p,p,Question: Please provide the orientation for columns C4 (HSS8x4) and C5 (HSS9x5) on the Foundation Plan S1.01 relative to the column grid lines.
p,p,Recommended Answer Format: A marked-up plan sketch showing the correct orientation.
p,p,--- RFI-006 To: Taylor & Viola Structural Engineers Re: S3.05 — Scope of Light Gauge Steel Joists Priority: Standard Blocking: No
p,p,Question: Details on sheet S3.05 show 600S200-54 light gauge steel joists framing between HSS18x6 beams. Please clarify if these light gauge members are to be supplied and installed by the structural steel fabricator.
p,p,"Recommended Answer Format: Written confirmation of scope responsibility (e.g., ""Light gauge joists are by steel fabricator"" or ""Light gauge joists are by others"")."
p,p,---
p,p,Group RFIs:
li,li,"Critical RFIs (must answer before modeling starts): RFI-001 Urgent RFIs (answer within first week of modeling): RFI-002, RFI-003, RFI-004 Standard RFIs (answer before drawing release): RFI-005, RFI-006"
